Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band
IEX-WTRG,2.9185061740953078,0.3797774279912241,0.21338190161629955,0.0996416803122245,-0.23667945417078948,0,0.49886491670769373,14.761127682085394,27.559055118110237
IEX-WRLD,1.85458902754686,0.38306088965089186,0.9151481004597402,0.0618309798788999,0.17464711950528283,1,0.500126811108552,106.51085343166194,66.92913385826772
NUAN-CXW,2.0927578582122512,0.9387566042655543,0.71187715514482,0.0678198496340041,-0.5081177518220255,2,0.6125603801013683,39.467317969719474,55.118110236220474
MOH-DECK,1.9611176511870985,0.5070942158793864,0.19785788804260734,0.1322949919995398,0.596441852429591,2,0.4295446356017818,9.06733391376876,97.63779527559055
PWR-NCLH,1.4416674824280795,0.890731101595547,0.7286178269819127,0.0726976066110521,0.5466270051913179,2,0.5827815608627911,37.60842868248408,70.86614173228347
PWR-FLO,1.1086455634919292,0.4217247355008143,0.7147312794623154,0.0897230879843647,-0.6908953585817682,6,0.5979096990833697,50.151570551572874,97.63779527559055
PWR-CPF,0.9585547766785923,0.5804522555545913,0.5857403414796231,0.0592355319332346,0.7704580064978876,2,0.5377143127662662,22.21731900956793,78.74015748031496
WSM-BAH,0.8984772928079704,0.3629610200816208,0.1709965787316608,0.0765971608474239,0.10627735130695613,10,0.3233594063506539,7.419218292683431,99.21259842519686
WSM-RPM,0.6836975132107029,0.032619441990510714,0.0346058540344106,0.075415086324284,0.7189737051724067,18,0.380715358134804,5.499622141877035,96.06299212598425
WSM-LSI,1.426502253419699,0.09242767346446978,0.020093757091908523,0.0785576796717928,0.5471624983143202,0,0.2769196455176254,4.300336109600673,79.52755905511812
WSM-TTEK,0.9273860430427321,0.04314925394558584,0.04747109859459323,0.0747658109813268,0.6921812507102707,2,0.3660934482264231,4.960519855421438,97.63779527559055
WSM-FCN,0.8710161806593162,0.21263752518680218,0.0723367615837839,0.0691875664085532,0.43180692735472875,6,0.33946532873155083,5.629767614774046,95.2755905511811
WSM-WTS,1.0923661624378944,0.07064614210537248,0.02409700765145235,0.0775958889718005,0.6100733432815882,0,0.31245268403064025,4.825879376522421,96.8503937007874
WSM-RLI,0.7015442905816233,0.23707582753619916,0.09149922292214913,0.0731771822476746,0.4608334369651554,14,0.2875804025378125,5.6088540909055435,98.4251968503937
WSM-EGHT,2.438106257067922,0.03342307629346188,0.7654812440055663,0.0823993067727727,-0.6377600084287343,0,0.5420817907706562,34.15795830683078,46.45669291338583
WSM-KAR,1.6000826239430972,0.040583590564425585,0.6483647551616445,0.074914714231281,-0.549626059594566,6,0.48737938845433504,21.374891432866196,69.29133858267717
WSM-CNMD,1.1322824989988747,0.08824510135413915,0.026705036502716772,0.0741241724570002,0.5892935997406022,0,0.28970341193010174,4.61045049125741,90.5511811023622
WSM-LADR,1.7639038885209475,0.014104498441817532,0.02253120527608829,0.0759257417586524,0.707956543013099,0,0.3583885826631344,4.583753626305014,48.031496062992126
WSM-KFRC,2.051647681040213,0.03256985447154472,0.010037352039681305,0.069147580850502,0.6998529699640733,0,0.25033162329442205,3.826231805487735,11.811023622047244
WSM-SAFT,1.5651175216685091,0.403525314522516,0.33590773464208845,0.0760495003898405,0.07261263975151949,0,0.4062534080723052,9.462367740610013,65.35433070866141
FANG-RYN,2.389077192085717,0.4030203776317238,0.60381646807552,0.0770887930161565,-0.32049919605902033,8,0.6026783530205179,27.30412390270897,48.031496062992126
FANG-CW,3.559224187059211,0.31552040056676056,0.48638028623941576,0.0706969325747295,-0.5517241833920206,0,0.6572528449095969,25.831465580693877,14.960629921259844
FANG-UMPQ,1.7752136180370723,0.5527702580095185,0.44111824994242643,0.0707671631139308,0.029187232493788254,9,0.6365039137224333,21.643215392233696,54.330708661417326
FANG-XPO,2.655867762437087,0.04126377866021187,0.32596195660373384,0.0742962526101507,-0.817755024959803,1,0.6640691160637775,21.52714457966793,44.09448818897638
FANG-BKU,2.213222028425868,0.21479746265823657,0.541893022042992,0.0804495679221502,-0.5108327799480883,9,0.6559795000355405,28.33073945892035,50.39370078740157
FANG-AIT,2.252514491045823,0.36031437658005894,0.6446994093255317,0.0749198482038268,-0.37823453020753545,15,0.6542743017655717,33.65446790611655,51.181102362204726
FANG-FLOW,2.8306705862287327,0.3419032546983253,0.6346411050237803,0.077353123695945,-0.5055739012450265,4,0.6338747265485765,35.6821621906923,44.881889763779526
FANG-HI,1.2747214586858946,0.6755948341381046,0.5853618923966729,0.0729443820820929,0.21087361059620488,3,0.5864746538189044,22.568208343618714,77.16535433070865
FANG-AUB,3.05939228203624,0.17040518904046126,0.3348126981499018,0.0813682632842309,-0.5144064849853852,0,0.6072986032304052,20.923079939820905,33.07086614173229
FANG-AX,2.118600855118773,0.1620555884404588,0.41431723667484666,0.0722191326826921,-0.5637812586104894,5,0.6519984041260135,22.26726233039166,49.60629921259843
FANG-HUBG,3.037675433860793,0.03077660392910421,0.5146663662150366,0.0895801511271715,-0.818248524471645,3,0.6975488298242117,34.73024606659294,47.24409448818898
FANG-HMN,3.644939708420686,0.521982816944111,0.20106778916712165,0.0767329401221975,-0.34592522308633156,0,0.5886230197686044,16.396394514426945,14.173228346456693
FANG-CRS,3.0868933377666554,0.32653156293730706,0.4506299215158516,0.0748838582667838,-0.5988023434206334,2,0.6506037587669949,24.37464017658406,31.496062992125985
FANG-CALM,2.149731138506355,0.49826501607102713,0.39512578429427886,0.0966616889465924,-0.14707197545931033,5,0.5958718292186834,18.344868263117515,67.71653543307087
FANG-HTLF,2.103188218162607,0.32075409976379277,0.4206302668469792,0.0788518585405953,-0.46950098583147226,1,0.6693389549641707,23.287080414522556,50.39370078740157
BRO-ITT,1.7447287769618032,0.044203331038761916,0.2585528707923417,0.0415681834093651,0.6732219061604233,0,0.3742878891421233,13.78447647967229,23.62204724409449
BRO-SC,0.8620381619454106,0.013068573077201008,0.9963059396135786,0.0476194507017248,-0.6010864642919506,11,0.6952166977959874,689.0608324331993,73.22834645669292
BRO-MTRN,2.4227605580415825,0.3065648257370115,0.26646377448584657,0.0446432103412791,-0.5054106756020208,0,0.53284451287555,15.909963833102132,2.3622047244094486
BRO-CVI,2.08633859179415,0.8358382248378289,0.8816262512551962,0.0371883173102349,-0.3656604088840022,0,0.6352946407754725,30.105549959560086,9.448818897637794
STLD-UMPQ,0.8047452380393028,0.32312529250592836,0.22181801935579348,0.0664898023933432,0.8201153274358052,6,0.3736450855695274,9.695112638887787,100.0
STLD-BOKF,1.2212863386380342,0.08740405707727922,0.02574985120878089,0.0695761459228389,0.8548499370781237,0,0.28980011946781076,5.09691958301034,81.10236220472441
STLD-FFBC,1.063163292073825,0.2409858557276589,0.2731705798834063,0.0804279611494259,0.7833071974715443,4,0.4303144947710426,10.640437708729245,97.63779527559055
STLD-FMBI,0.5602163955689623,0.2167739635117813,0.40600518180459033,0.0789780292129145,0.9031096331602539,16,0.35124967560001746,11.489659653166232,100.0
STLD-HTLF,1.240085603187576,0.23276003815177448,0.16851076489938555,0.0751695171173063,0.848668169436202,2,0.39700052864982455,8.85961474141366,86.61417322834646
ALLE-WTRG,1.0156804280580845,0.7671428511246032,0.6253564604246269,0.0576433987968097,0.2694789567125294,2,0.5412466916154504,33.1748912583463,83.46456692913385
ALLE-PNM,1.355358977003634,0.940207030489277,0.9290014571282473,0.0565712169286825,-0.33501171634444776,4,0.6523076764902735,190.32684711415556,65.35433070866141
PNR-AVNT,0.9289812833400858,0.859166117339325,0.8811280120342071,0.04574325050895,0.4863700949708489,3,0.6409072473575875,93.42673211010552,74.01574803149606
PNR-QRTEA,2.588920201048797,0.6351451458685942,0.99042273541035,0.0581645141318476,-0.6703135211521458,0,0.7376761520136635,-162.41948795497035,44.881889763779526
PNR-FOE,1.2144263531277872,0.7828982899449148,0.6590604213108843,0.0441835412972092,0.5361009856316532,5,0.657105347781404,38.02748090357101,60.629921259842526
ATO-EGP,0.41466364362082847,0.282225965409838,0.6518636347339287,0.0268488355367473,0.253639617831415,21,0.5768421115560189,27.673625704634876,81.88976377952756
ATO-STWD,0.8665631382318195,0.2427296497745347,0.7554851650830372,0.0497448530058196,0.49309237090190466,4,0.562081990609846,34.95604667971471,77.16535433070865
ATO-BXMT,0.5825382694867702,0.21884986737665985,0.6103605417844785,0.0392161969452043,0.25171465729893466,8,0.49133263944458566,20.313029947461086,90.5511811023622
KIM-BRX,0.6218717677377612,0.5495360245722942,0.6686927372232205,0.0291925502858142,0.9705999831663971,5,0.5835079016001182,30.487118263458587,66.14173228346458
APO-MDC,2.5598715358685302,0.9616703027263154,0.44350925297184346,0.116232840325244,0.42341467084289997,6,0.4973770006623875,20.896505212780045,68.50393700787401
APO-KALU,3.7132834440029536,0.4803813689289182,0.19405018353858294,0.145543166129465,0.8367411262786042,0,0.4358158210396588,9.381338062763298,43.30708661417323
JLL-ST,0.6708202608168222,0.7978739320426051,0.48837153511376363,0.0789905922209096,0.7923514586204911,5,0.4570731239329037,16.370970098633713,100.0
JLL-KALU,0.48192736071325687,0.7545614282711949,0.16799478913595883,0.0825869655285129,0.9120566652023179,16,0.38725464247061997,8.003228933416688,100.0
