Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band
BRO-WD,1.150720165373136,0.9542630351614421,0.8642328805565942,0.0497225387398082,0.018860985853471866,5,0.6960896964412658,74.32958021291371,42.4
BRO-FHI,1.0744858540810478,0.5537730569410221,0.8872742448401622,0.0347407614081778,0.855232572687969,4,0.6235600898401664,74.93592228353239,31.2
BRO-ESGR,0.794256453752756,0.7389600743219322,0.8737743408594133,0.0342121772961054,0.6184548166509551,3,0.6718392799641038,76.7821247111973,54.400000000000006
BRO-MIC,1.0154139131640076,0.5497265466957217,0.8106650737838952,0.0385749006765463,0.7132254505164566,3,0.6446776470583949,52.664424803953736,36.8
BRO-PAG,1.4517792930787778,0.954385462835452,0.9106273872763979,0.0437614573780831,0.5847701243003389,4,0.7126258462347919,114.8999095946397,33.6
BRO-PBH,0.7054104321120958,0.5574196938411461,0.8561091198738762,0.0342808398822712,0.8602276256091211,3,0.6282574607947449,62.50911365699347,67.2
BRO-GPI,1.8031547310058067,0.9496567273527601,0.8572988735630741,0.0409157659068824,0.21435442936119234,4,0.7289225636032102,73.44533587855804,17.599999999999998
BRO-WERN,1.3095354322628099,0.9861241147205442,0.9618778742552634,0.0445262317344997,0.28248005685855193,2,0.701684402473717,-1154.2219360182285,40.0
BRO-PDCO,0.9628733946276629,0.484505346560075,0.826143763351162,0.0364672390669155,0.8306910816118998,4,0.6417766814581756,53.42677804021897,36.8
BRO-MD,1.1034240234086783,0.9112682020277607,0.8383240395480714,0.0418649123427057,0.17771438603993708,5,0.6664676300689513,64.21956895925747,36.8
BRO-MYGN,1.2410830379759321,0.30876224726618107,0.901046771899833,0.0491280875372368,-0.5655236261931397,3,0.703427419426857,111.6995781668879,40.8
BRO-FBC,1.2472003171200667,0.07875025644987294,0.8660648950124878,0.0515613313944313,0.7490999648893779,2,0.6749855364799757,72.20232180801638,39.2
