Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
FANG-BKU,2.2046704667873547,0.009972940873848774,0.002066846322180512,0.0804495679221502,0.7694570059799272,52,0.3571483807605209,17.38441930689176,95.74468085106383,0.8350955016290327
FANG-AIT,2.0531319306898483,0.005592646988741629,0.001074697895319453,0.0749198482038268,0.8038755608858894,76,0.3666374754876197,16.174492772527515,94.81382978723404,0.6844477798548345
FANG-FLOW,2.119814335003342,0.009370155322565563,0.0019255384346479804,0.077353123695945,0.7892161049646869,75,0.3791965837539767,17.378875699287878,95.47872340425532,0.4949788875086364
FANG-HI,1.9989955079692163,0.005369070100001065,0.0010266372284419892,0.0729443820820929,0.8152465338133218,52,0.3339317547633009,15.95632194443326,97.47340425531915,0.6334707029016622
FANG-AUB,2.2298467428702,0.008233348843285868,0.001662466867459273,0.0813682632842309,0.7633439743582002,53,0.35867138706558743,17.371245242467467,95.34574468085107,0.7220422928576303
FANG-AX,1.9791204984046968,0.0016671382604158617,0.0002795269926845395,0.0722191326826921,0.8193062009684456,62,0.3312517369613553,13.738008599567646,95.07978723404256,0.4459954766110924
FANG-HUBG,2.4548884313652906,0.006747389760346387,0.0013280344208926897,0.0895801511271715,0.7030024882230748,77,0.34227412509580024,16.538424014835922,96.1436170212766,0.8358132371366931
FANG-HMN,2.102818589167253,0.0006219040368538809,9.486324674444931e-05,0.0767329401221975,0.79302286984471,55,0.3089041094766843,13.866540648416242,96.94148936170212,1.046698206193835
FANG-CRS,2.052145648807303,0.0075086707713777545,0.0014982863357228663,0.0748838582667838,0.8040868962872638,43,0.36363093263673213,16.662447076910297,97.87234042553192,0.5727261578772829
FANG-CALM,2.6489535791734564,0.00984261930959228,0.002034734106775142,0.0966616889465924,0.6411584150630261,57,0.3779283942942058,19.036573677845745,97.07446808510637,0.8697155868858841
FANG-HTLF,2.1608862330245087,0.00870049950116526,0.0017698491821970708,0.0788518585405953,0.7798116512855668,52,0.35148858077555595,17.15101861865606,96.27659574468085,0.6806540552891176
BRO-ITT,1.1391502613079263,0.0006250550436288553,9.53588160931149e-05,0.0415681834093651,0.9725566992884247,72,0.3432680000340657,12.680383400001839,96.67553191489363,0.8531776482824169
BRO-SC,1.304981484901467,0.001982130978876382,0.0003383545176451557,0.0476194507017248,0.9638248992427456,57,0.37307847613174794,14.189941394770687,93.75,0.6984043217493756
BRO-MTRN,1.2234194654374868,0.003533168697049478,0.0006415794249825161,0.0446432103412791,0.9682774369005338,50,0.33495290334368905,13.744087766572386,94.0159574468085,0.6312668804517467
BRO-CVI,1.019122749829188,0.0004050320265483008,5.961314399416668e-05,0.0371883173102349,0.9780967135373921,95,0.3142736460483343,11.577108124456602,94.28191489361703,0.3874759851847498
STLD-UMPQ,1.8221117585240725,0.0022659975176686064,0.00039256148694972825,0.0664898023933432,0.9428008926829266,58,0.3129445009932667,14.002762810312152,96.54255319148936,1.312960381118283
STLD-BOKF,1.9066910869851497,0.0015425076322819094,0.0002564900970088526,0.0695761459228389,0.937185936505023,59,0.3399609944726191,14.51376130171352,94.81382978723404,1.3476712563943771
STLD-FFBC,2.204078346594067,0.001436552091459194,0.000237415381840199,0.0804279611494259,0.9150954109641957,75,0.33763408335861333,13.874447983192429,94.9468085106383,1.433466290564953
STLD-FMBI,2.164343861974189,0.0017265313290166415,0.00029041438193535077,0.0789780292129145,0.9182643364159992,49,0.315223181265259,14.415428326106657,98.13829787234043,1.6245902897024658
STLD-HTLF,2.05997395227231,0.008714259553883155,0.0017745682526713745,0.0751695171173063,0.9262647769568834,61,0.3440960666179171,16.94983563604659,95.74468085106383,1.2802370500126103
ALLE-WTRG,1.5796815597014757,0.0009581922402787738,0.0001507162579603488,0.0576433987968097,0.881713294353548,57,0.38548916426027097,14.957302611061369,96.27659574468085,1.1184042241769705
ALLE-PNM,1.5502990812029893,0.008532168726429448,0.0017382116568419427,0.0565712169286825,0.8863529083382355,63,0.3259177326565158,19.980903944075486,97.3404255319149,0.8305425849729531
