Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
IEX-GRA,1.6328258688667414,0.006148357643218169,0.0011956988152475386,0.0594640108936956,0.9258084086987967,56,0.3780305232246711,17.77361873135059,94.43708609271523,1.4443744302016088
IEX-ADS,1.0071146550052508,0.006580245851688651,0.0012911984033036636,0.0366769524897332,0.9724423916454171,79,0.35746550424386836,16.505057389564364,95.2317880794702,0.7438257924855127
MOH-SCI,1.819716138766036,0.0022805766543859064,0.0003953618646177751,0.0662701530899425,0.9760154712864807,52,0.30478112791132594,12.654336153583497,97.08609271523179,1.3731582610697322
MOH-FHN,2.5784712901644076,0.002251080861207118,0.00038951757742837706,0.0939023859254713,0.9512325779930789,54,0.35621396646264547,14.266102002963972,95.62913907284768,2.089340771923001
MOH-POLY,3.4286061748392265,0.00574604516176795,0.0011104674417148942,0.1248624723665931,0.912004485411332,66,0.3387886047558651,14.86093498637607,94.56953642384106,2.7045513889387465
MOH-SCHL,3.244907980527917,0.004585623667570493,0.0008595130008338518,0.1181725787067987,0.9215736557764492,55,0.3533896650131894,17.316719833335185,96.55629139072848,1.6949239673906271
NVAX-ACHC,4.229361483995615,0.005857896458001719,0.0011316546137268206,0.1540242607328616,0.9615893381818634,54,0.35351186313004496,16.657299005434457,96.02649006622516,1.6875005527209648
NVAX-NYCB,5.31011952248265,0.008274510114639113,0.001670689722481272,0.1933831470656985,0.9387367516650427,52,0.3935309667355208,20.99657546185271,94.17218543046357,3.8082410081946225
NVAX-MIDD,4.775400945005751,0.007884695717927503,0.0015822569783969821,0.1739098450299979,0.9507590617296627,62,0.3446855479199822,17.6745001258678,97.21854304635762,1.903422269825489
NVAX-FNB,8.054894584287045,0.007065797433184248,0.0013986965119698951,0.2933419591398608,0.8524705658449393,50,0.394544617439834,23.721523126965753,93.90728476821192,5.457223729804026
SBNY-DXC,1.8779558772938791,0.0044527092427117596,0.0008335709980577547,0.0683911192702917,0.9511593998829223,51,0.3876527599047888,15.033570920576489,95.49668874172185,1.3481205512255214
SBNY-ISBC,1.1880161776111495,0.008818275281957515,0.001798251658324636,0.0432649973731654,0.9807460927724252,63,0.398271945225327,17.158478276850694,94.03973509933775,1.1855608483022255
SBNY-EGBN,1.3221179241216707,0.005853253076123915,0.0011319803343439717,0.0481486949354166,0.9760979644010884,75,0.37895542016438,15.903425812057348,98.27814569536424,0.8140828671230156
SBNY-FCF,1.9233345299321687,0.008075886593655029,0.0016289483082701731,0.0700437123276869,0.9487060314135791,73,0.3975403945948628,16.45049388534589,94.56953642384106,1.7885207564619954
SBNY-PKI,1.698433860008148,0.0055927619567594,0.0010747398569229524,0.0618533130074928,0.960235829318997,56,0.345270148536036,16.1679404544078,96.42384105960264,1.331528314174263
PWR-CG,2.108541777859246,0.00388157471058874,0.0007137669388249026,0.0767885624787754,0.8517590868477192,50,0.402868627316369,15.545518550313371,94.43708609271523,0.8120147996543166
PWR-X,2.1199289370528787,0.00990314344188677,0.002049594527167286,0.0772032583574048,0.8500121158533144,50,0.426436776752904,17.96931778950094,94.83443708609272,0.3516859820349866
PWR-CFX,1.8878353607357692,0.0054602344283102705,0.0010461761158736956,0.0687509088364751,0.8831492120063669,46,0.3882052642532916,16.095826999372573,96.29139072847683,0.4785337851600936
PWR-ATI,1.781916485154622,0.007694208538745248,0.0015405521237195604,0.0648935708976925,0.8966335986447926,53,0.40425189803987344,13.838075864949646,95.62913907284768,0.4341589739346149
WSM-STFC,2.338967944963084,0.006260039375462283,0.0012211440956308784,0.0851801885376919,0.8918341206510897,80,0.35070616582034303,13.92596923729027,95.49668874172185,1.2095175148129829
FANG-ARW,3.5923771538639735,0.0049973092828676366,0.0009430630539561471,0.1308266596485826,0.9452214353740548,65,0.3892750021960478,14.319260035228039,96.42384105960264,2.4546221573060905
FANG-EQC,5.128820446492749,0.004929226461485773,0.0009326320900390724,0.1867806241419512,0.8847623944631797,65,0.3761518055432589,12.737279985467103,93.37748344370861,2.721049359324729
FANG-SANM,4.303659140890793,0.008338034734180428,0.0016852948855692162,0.1567300218083258,0.9203642710117059,43,0.39483514591457947,18.52772642623586,96.55629139072848,1.4871008541316129
FANG-KAMN,5.672715865604675,0.000520828999255149,7.777656197831471e-05,0.2065881270384784,0.8569107971655332,56,0.44502737014030064,16.563284119297943,94.03973509933775,4.536711536403646
BRO-MOH,1.0217353358342216,0.004159461422931925,0.0007391021355019953,0.0372094062808349,0.6930767917717495,61,0.4216513135029435,15.891175202734251,96.55629139072848,0.1175232234766903
BRO-NVAX,1.1633942292776576,0.007278634665668821,0.0013831551383284334,0.0423683189019068,0.5712039075386456,59,0.4409325803345452,18.87399778102204,95.89403973509934,0.0525450156245214
BRO-WSM,1.0728442065629002,0.00579818872980304,0.001101457747665665,0.0390706815727826,0.6535046011327809,53,0.42093168543515164,17.82526632800754,96.02649006622516,0.1791415261910898
BRO-JLL,1.188266277695982,0.008428038721208486,0.0016273192720093915,0.0432741054810491,0.5451228987299491,65,0.4521836521101167,20.330852464679396,96.29139072847683,0.1165006570612816
BRO-WTRG,1.0494439677196097,0.007634661669455006,0.0015238417485766962,0.0382184951369697,0.672152207652769,50,0.39246017271374783,18.72743218115169,96.55629139072848,0.4326123654709954
BRO-BAH,1.1271318670806418,0.0055993661839047765,0.001031436958225248,0.0410477215609233,0.6063156800792793,58,0.4328471838292871,18.10420403405699,95.76158940397352,0.0991049498615443
BRO-BLDR,1.3068436321091783,0.007055237952095802,0.0013081416964421052,0.0475924380289439,0.3871520365071506,41,0.4593927024273046,21.84315963219357,96.82119205298014,0.0632673995483577
BRO-BG,1.334615012613875,0.009634421579447123,0.0019254640723578888,0.0486038120550122,0.33670719945050054,49,0.46913151754043825,23.357197835933636,96.42384105960264,0.1904242405189267
BRO-SCI,0.9889274995070022,0.0037580785067667494,0.0006613686269437175,0.0360146153518338,0.7163736094943132,60,0.4237258663125557,15.307137147200594,95.89403973509934,0.1709014742623531
BRO-OC,1.4082903234152184,0.008651908757117344,0.0016299905140710362,0.0512869086225159,0.11304861856720295,41,0.4757940045099387,23.899336794168086,96.82119205298014,0.0576630650424698
BRO-LAD,1.043774934603452,0.007916112199608302,0.0015441224111280435,0.0380120411277557,0.6765318935314739,44,0.41658703887005294,17.058877096174086,95.89403973509934,0.1157369271006856
BRO-NWL,1.0516873516685574,0.004328569240115059,0.0007915412923037227,0.0383001943616835,0.6704045606949508,54,0.432713363750189,17.621092352804784,94.70198675496688,0.1646728860306821
BRO-UGI,1.1209245367311453,0.005016034182215858,0.0009490072718463401,0.0408216639227139,0.6120170041320169,55,0.4287718985804752,19.690370882667693,96.42384105960264,0.1908123092137956
